Marca,Desc_Producto,Precio,URL_Producto
WD, Blue 2TB Desktop Hard Disk Drive - 5400 RPM SATA 6Gb/s 256MB Cache 3.5 Inch - WD20EZAZ - OEM, 46, https://www.newegg.com/blue-wd20ezaz-2tb/p/N82E16822234372?Description=HDD&cm_re=HDD-_-22-234-372-_-Product
Seagate, BarraCuda ST500DM009 500GB 7200 RPM 32MB Cache SATA 6.0Gb/s 3.5" Hard Drive Bare Drive, 29, https://www.newegg.com/seagate-barracuda-st500dm009-500gb/p/N82E16822179011?Description=HDD&cm_re=HDD-_-22-179-011-_-Product
WD, Blue 1TB Desktop Hard Disk Drive - 5400 RPM SATA 6Gb/s 64MB Cache 3.5 Inch - WD10EZRZ, 44, https://www.newegg.com/blue-wd10ezrz-1tb/p/N82E16822235014?Description=HDD&cm_re=HDD-_-22-235-014-_-Product
Seagate, IronWolf Pro 6TB NAS Hard Drive 7200 RPM 256MB Cache CMR SATA 6.0Gb/s 3.5" Internal HDD ST6000NE000, 168, https://www.newegg.com/seagate-ironwolf-pro-st6000ne000-6tb/p/N82E16822184794?Description=HDD&cm_re=HDD-_-22-184-794-_-Product
WD, Blue WD80EAZZ 8TB 5640 RPM 128MB Cache SATA 6.0Gb/s 3.5" Internal Hard Drive - OEM, 129, https://www.newegg.com/blue-wd80eazz-8tb/p/N82E16822234496?Description=HDD&cm_re=HDD-_-22-234-496-_-Product
Seagate, IronWolf Pro 8TB NAS Hard Drive 7200 RPM 256MB Cache CMR SATA 6.0Gb/s 3.5" Internal HDD ST8000NE001, 249, https://www.newegg.com/seagate-ironwolf-pro-st8000ne001-8tb/p/N82E16822184795?Description=HDD&cm_re=HDD-_-22-184-795-_-Product
WD, Gold 10TB Enterprise Class Hard Disk Drive - 7200 RPM Class SATA 6Gb/s 256MB Cache 3.5 Inch - WD102KRYZ - OEM, 253, https://www.newegg.com/gold-wd102kryz-10tb/p/N82E16822234399?Description=HDD&cm_re=HDD-_-22-234-399-_-Product
Seagate, IronWolf Pro 20TB NAS Hard Drive 7200 RPM 256MB Cache CMR SATA 6.0Gb/s 3.5" Internal HDD ST20000NE000 - OEM, 509, https://www.newegg.com/seagate-ironwolf-pro-st20000ne000-20tb/p/N82E16822185007?Description=HDD&cm_re=HDD-_-22-185-007-_-Product
Seagate, Exos 7E8 ST8000NM000A 8TB 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5" Hard Drives Bare Drive, 213, https://www.newegg.com/seagate-exos-7e8-st8000nm000a-8tb/p/1Z4-002P-01A30?Description=HDD&cm_re=HDD-_-1Z4-002P-01A30-_-Product
Seagate, IronWolf 6TB NAS Hard Drive 7200 RPM 256MB Cache SATA 6.0Gb/s CMR 3.5" Internal HDD for RAID Network Attached Storage ST6000VN0033, 166, https://www.newegg.com/seagate-ironwolf-st6000vn0033-6tb/p/N82E16822172057?Description=HDD&cm_re=HDD-_-22-172-057-_-Product
