MSI, SPATIUM Series M.2 2280 1TB PCIe Gen4x4 NVMe 1.4 3D NAND Internal Solid State Drive (SSD) M480 and MSI Ventus GeForce RTX 3050 8GB GDDR6 PCI Express 4.0 Video Card RTX 3050 Ventus 2X 8G OC, 8, 564
GIGABYTE, AORUS GeForce RTX 3070 Ti Video Card GV-N307TAORUS M-8GD and GIGABYTE G27QC A 27" 165Hz 2560 x 1440 1ms (MPRT) 88% DCI-P3 HDR Ready FreeSync Premium 1 x Display Port 1.2 2 x HDMI 2.0 2 x USB 3.0 Curved Gaming Monitor, 0, 1169
MSI, Ventus GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 Video Card RTX 3070 Ventus 2X 8G OC LHR, 8, 859
GIGABYTE, AORUS GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 ATX Video Card GV-N307TAORUS M-8GD, 8, 899
GIGABYTE, GeForce RTX 3060 VISION OC 12G Graphics Card| 3 x WINDFORCE Fans| 12GB 192-bit GDDR6| GV-N3060VISION OC-12GD Video Card, 2, 663
GIGABYTE, Vision GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 ATX Video Card GV-N307TVISION OC-8GD, 8, 899
GIGABYTE, Radeon RX 6600 EAGLE 8G Graphics Card| WINDFORCE 3X Cooling System| 8GB 128-bit GDDR6| GV-R66EAGLE-8GD Video Card, 8, 369
ASUS, Dual GeForce RTX 3050 8GB GDDR6 PCI Express 4.0 Video Card DUAL-RTX3050-O8G, 8, 379
MSI, Gaming GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 Video Card RTX 3070 Ti Gaming X Trio 8G, 8, 988
GIGABYTE, Gaming GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 ATX Video Card GV-N308TGAMING OC-12GD, 2, 1449
MSI, Ventus GeForce RTX 2060 6GB GDDR6 PCI Express 3.0 x16 ATX Video Card RTX 2060 VENTUS GP OC, 6, 429
MSI, Suprim GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 x16 Video Card RTX 3070 Ti SUPRIM X 8G, 8, 974
EVGA, GeForce RTX 3070 Ti FTW3 ULTRA GAMING Video Card| 08G-P5-3797-KL| 8GB GDDR6X| iCX3 Technology| ARGB LED| Metal Backplate, 8, 946
ASUS, TUF Gaming GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 Video Card TUF-RTX3060-O12G-V2-GAMING, 2, 626
ASRock, Challenger D Radeon RX 6600 XT 8GB GDDR6 PCI Express 4.0 Video Card RX6600XT CLD 8GO, 8, 469
ASUS, Phoenix GeForce RTX 3050 8GB GDDR6 PCI Express 4.0 Video Card PH-RTX3050-8G, 8, 389
ASUS, ROG Strix GeForce RTX 3050 8GB GDDR6 PCI Express 4.0 Video Card ROG-STRIX-RTX3050-O8G-GAMING, 8, 489
Dell, 1CX3M HFKYC AMD ATI Radeon HD6350 512MB PCI-E x16 DMS-59 Video Graphics Card w/ Dual VGA Adapter, 0, 21
G210, Gaming Graphics Card 1GB DDR3 PCI Express 2.0  3D API
DirectX 12 with DVI/HDMI/CRT 64bit 600MHz, 1, 53
