Marca,Desc_Producto,Precio,URL_Producto,
AMD," Ryzen 7 5800X - Ryzen 7 5000 Series Vermeer (Zen 3) 8-Core 3.8 GHz Socket AM4 105W Desktop Processor - 100-100000063WOF"," 359"," https://www.newegg.com/amd-ryzen-7-5800x/p/N82E16819113665?Description=CPU&cm_re=CPU-_-19-113-665-_-Product",
AMD," Ryzen 5 3rd Gen - RYZEN 5 3600 Matisse (Zen 2) 6-Core 3.6 GHz (4.2 GHz Max Boost) Socket AM4 65W 100-100000031BOX Desktop Processor"," 192"," https://www.newegg.com/amd-ryzen-5-3600/p/N82E16819113569?Description=CPU&cm_re=CPU-_-19-113-569-_-Product",
Intel," Core i9-12900K - Core i9 12th Gen Alder Lake 16-Core (8P+8E) 3.2 GHz LGA 1700 125W Intel UHD Graphics 770 Desktop Processor - BX8071512900K"," 614"," https://www.newegg.com/intel-core-i9-12900k-core-i9-12th-gen/p/N82E16819118339?Description=CPU&cm_re=CPU-_-19-118-339-_-Product",
AMD," Ryzen 7 5700G - Ryzen 7 5000 G-Series Cezanne (Zen 3) 8-Core 3.8 GHz Socket AM4 65W AMD Radeon Graphics Desktop Processor - 100-100000263BOX"," 278"," https://www.newegg.com/amd-ryzen-7-5700g-ryzen-7-5000-g-series/p/N82E16819113682?Description=CPU&cm_re=CPU-_-19-113-682-_-Product",
KUU," YOBOOOK M 13.5 Inch Notebook Intel Celeron N4020 Windows 10 BT 4.0 6GB RAM+128GB SSD WIFI"," 290"," https://www.newegg.com/p/1TS-00BK-00057?Item=9SIANGPFYW2041&Description=CPU&cm_re=CPU-_-9SIANGPFYW2041-_-Product&cm_sp=SP-_-743350-_-0-_-6-_-9SIANGPFYW2041-_-CPU-_-cpu-_-19",
AMD," Athlon 3000G Picasso (Zen+) 3.5GHz Dual-Core Unlocked OC AM4 Processor with Vega 3 Graphics"," 99"," https://www.newegg.com/amd-athlon-3000g/p/274-000M-001B8?Description=CPU&cm_re=CPU-_-274-000M-001B8-_-Product",
AMD," Ryzen 9 5900X - Ryzen 9 5000 Series Vermeer (Zen 3) 12-Core 3.7 GHz Socket AM4 105W Desktop Processor - 100-100000061WOF"," 399"," https://www.newegg.com/amd-ryzen-9-5900x/p/N82E16819113664?Description=CPU&cm_re=CPU-_-19-113-664-_-Product",
Intel," Core i3-10100F - Core i3 10th Gen Comet Lake Quad-Core 3.6 GHz LGA 1200 65W Desktop Processor - BX8070110100F"," 79"," https://www.newegg.com/intel-core-i3-10100f-core-i3-10th-gen/p/N82E16819118223?Description=CPU&cm_re=CPU-_-19-118-223-_-Product",
AMD," Ryzen 5 5600X - Ryzen 5 5000 Series Vermeer (Zen 3) 6-Core 3.7 GHz Socket AM4 65W Desktop Processor - 100-100000065BOX"," 229"," https://www.newegg.com/amd-ryzen-5-5600x/p/N82E16819113666?Description=CPU&cm_re=CPU-_-19-113-666-_-Product",
Intel," Core i7-12700K - Core i7 12th Gen Alder Lake 12-Core (8P+4E) 3.6 GHz LGA 1700 125W Intel UHD Graphics 770 Desktop Processor - BX8071512700K"," 384"," https://www.newegg.com/intel-core-i7-12700k-core-i7-12th-gen/p/N82E16819118343?Description=CPU&cm_re=CPU-_-19-118-343-_-Product",
Intel," Core i5-12600K - Core i5 12th Gen Alder Lake 10-Core (6P+4E) 3.7 GHz LGA 1700 125W Intel UHD Graphics 770 Desktop Processor - BX8071512600K"," 277"," https://www.newegg.com/intel-core-i5-12600k-core-i5-12th-gen/p/N82E16819118347?Description=CPU&cm_re=CPU-_-19-118-347-_-Product",
AMD," Athlon 200GE 2-Core| 4-Thread| 3.2 GHz Base| Socket AM4 35W YD200GC6FBBOX Desktop Processor"," 95"," https://www.newegg.com/amd-athlon-200ge/p/N82E16819113544?Description=CPU&cm_re=CPU-_-19-113-544-_-Product",
AMD," Ryzen 5 5600G - Ryzen 5 5000 G-Series Cezanne (Zen 3) 6-Core 3.9 GHz Socket AM4 65W AMD Radeon Graphics Desktop Processor - 100-100000252BOX"," 197"," https://www.newegg.com/amd-ryzen-5-5600g-ryzen-5-5000-g-series/p/N82E16819113683?Description=CPU&cm_re=CPU-_-19-113-683-_-Product",
AMD," Ryzen 7 3rd Gen - RYZEN 7 3800X Matisse (Zen 2) 8-Core 3.9 GHz (4.5 GHz Max Boost) Socket AM4 105W 100-100000025BOX Desktop Processor"," 304"," https://www.newegg.com/amd-ryzen-7-3800x/p/N82E16819113104?Description=CPU&cm_re=CPU-_-19-113-104-_-Product",
Intel," Core i5-12400 - Core i5 12th Gen Alder Lake 6-Core 2.5 GHz LGA 1700 65W Intel UHD Graphics 730 Desktop Processor - BX8071512400"," 198"," https://www.newegg.com/intel-core-i5-12400f-core-i5-12th-gen/p/N82E16819118358?Description=CPU&cm_re=CPU-_-19-118-358-_-Product",
AMD," Ryzen 5 5500 - Ryzen 5 5000 Series 6-Core Socket AM4 65W Desktop Processor - 100-100000457BOX"," 159"," https://www.newegg.com/amd-ryzen-5-5500-ryzen-5-5000-series/p/N82E16819113737?Description=CPU&cm_re=CPU-_-19-113-737-_-Product",
Intel," Core i5-10400 - Core i5 10th Gen Comet Lake 6-Core 2.9 GHz LGA 1200 65W Intel UHD Graphics 630 Desktop Processor - BX8070110400"," 141"," https://www.newegg.com/intel-core-i5-10400-core-i5-10th-gen/p/N82E16819118135?Description=CPU&cm_re=CPU-_-19-118-135-_-Product",
AMD," Ryzen 7 5700X - Ryzen 7 5000 Series 8-Core Socket AM4 65W Desktop Processor - 100-100000926WOF"," 299"," https://www.newegg.com/amd-ryzen-7-5700x-ryzen-7-5000-series/p/N82E16819113735?Description=CPU&cm_re=CPU-_-19-113-735-_-Product",
Intel," Core i9-12900KS - Core i9 12th Gen Alder Lake 16-Core (8P+8E) 3.4 GHz LGA 1700 150W Intel UHD Graphics 770 Desktop Processor - BX8071512900KS"," 779"," https://www.newegg.com/intel-core-i9-12900ks-core-i9-12th-gen/p/N82E16819118392?Description=CPU&cm_re=CPU-_-19-118-392-_-Product",
Intel," Core i5-11600K - Core i5 11th Gen Rocket Lake 6-Core 3.9 GHz LGA 1200 125W Intel UHD Graphics 750 Desktop Processor - BX8070811600K"," 224"," https://www.newegg.com/intel-core-i5-11600k-core-i5-11th-gen/p/N82E16819118235?Description=CPU&cm_re=CPU-_-19-118-235-_-Product",
AMD," Ryzen 5 5600 - Ryzen 5 5000 Series 6-Core Socket AM4 65W Desktop Processor - 100-100000927BOX"," 199"," https://www.newegg.com/amd-ryzen-5-5600-ryzen-5-5000-series/p/N82E16819113736?Description=CPU&cm_re=CPU-_-19-113-736-_-Product",
